---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: LG278C
Date: 5/18/2016
Time: 5:22 PM
Start Frequency (Hz): 10
Stop Frequency (Hz): 40000000
Number of Points: 1601
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): -10
Receiver Bandwidth (Hz): 300
Reference Signal: SourceVoltage
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 10
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR1: Gain (Real),TR1: Gain (Imag),TR1: Gain (dB),TR1 (Without piezo): Gain (Real),TR1 (Without piezo): Gain (Imag),TR1 (Without piezo): Gain (dB),TR1 (With piezo): Gain (Real),TR1 (With piezo): Gain (Imag),TR1 (With piezo): Gain (dB),TR1 (1u cap): Gain (Real),TR1 (1u cap): Gain (Imag),TR1 (1u cap): Gain (dB),TR2: Gain (Real),TR2: Gain (Imag),TR2: Gain Unwrapped (Degree),TR2 (1u cap): Gain (Real),TR2 (1u cap): Gain (Imag),TR2 (1u cap): Gain Unwrapped (Degree)
10,0.988620529118192,0.0431156191677363,-0.0911550836694903,0.988397703635225,0.0425996419099221,-0.0933055447045061,0.988685721876148,0.0429891205146161,-0.0906317160300465,0.988620529118192,0.0431156191677363,-0.0911550836694903,0.988620529118192,0.0431156191677363,2.49719536057336,0.988620529118192,0.0431156191677363,2.49719536057336
10.095464070787,0.988650730300111,0.0427378521278147,-0.0910340821167947,0.988643259126955,0.042352240497795,-0.0912451213446836,0.988396557350015,0.0428678214603936,-0.0932138955955197,0.988650730300111,0.0427378521278147,-0.0910340821167947,0.988650730300111,0.0427378521278147,2.47526744370421,0.988650730300111,0.0427378521278147,2.47526744370421
10.1918394804551,0.988768930573475,0.0424020256467833,-0.0901243968860586,0.98872405077091,0.0419519481579782,-0.0906862903334647,0.988731888389784,0.0422070116871833,-0.0905223715484563,0.988768930573475,0.0424020256467833,-0.0901243968860586,0.988768930573475,0.0424020256467833,2.45554791905342,0.988768930573475,0.0424020256467833,2.45554791905342
10.2891349290163,0.988956266837984,0.0418713622436707,-0.0886801301169449,0.988890107633453,0.041611970199033,-0.0893561784867906,0.988751745358815,0.0416265041064453,-0.0905640515457962,0.988956266837984,0.0418713622436707,-0.0886801301169449,0.988956266837984,0.0418713622436707,2.4243947449345,0.988956266837984,0.0418713622436707,2.4243947449345
10.3873591995364,0.988831634302625,0.0416305889695875,-0.0898620129570862,0.988843260062885,0.0411926152207807,-0.089920904170613,0.988807999533891,0.0415200856029399,-0.0901099969971207,0.988831634302625,0.0416305889695875,-0.0898620129570862,0.988831634302625,0.0416305889695875,2.41077367503128,0.988831634302625,0.0416305889695875,2.41077367503128
10.4865211589278,0.988950274127548,0.0412560307649025,-0.0889594062863308,0.989165045207524,0.0407432158005782,-0.0872628911655681,0.988988990556703,0.0410946232315848,-0.0886788765663196,0.988950274127548,0.0412560307649025,-0.0889594062863308,0.988950274127548,0.0412560307649025,2.3888224615332,0.988950274127548,0.0412560307649025,2.3888224615332
10.5866297587503,0.989074343337578,0.0404722095036153,-0.0881555813071717,0.989164560812221,0.0404731963141574,-0.087364312506954,0.989097180447544,0.040489337613268,-0.0879492214249228,0.989074343337578,0.0404722095036153,-0.0881555813071717,0.989074343337578,0.0404722095036153,2.34319479432047,0.989074343337578,0.0404722095036153,2.34319479432047
10.6876940360188,0.989380125293953,0.0405254186644257,-0.0854560664311275,0.988987528190618,0.0397851868284519,-0.0891611609346511,0.989088584185306,0.0404454457360044,-0.0880403283983172,0.989380125293953,0.0405254186644257,-0.0854560664311275,0.989380125293953,0.0405254186644257,2.34554763346393,0.989380125293953,0.0405254186644257,2.34554763346393
10.7897231140193,0.989384142413509,0.0398931578778972,-0.0856460701428586,0.98929741616229,0.0396454232388482,-0.0864935407406303,0.989029220862785,0.0398105387363222,-0.0887866451845702,0.989384142413509,0.0398931578778972,-0.0856460701428586,0.989384142413509,0.0398931578778972,2.30898392762289,0.989384142413509,0.0398931578778972,2.30898392762289
10.8927262031322,0.989243010397034,0.0397994015275567,-0.0869162621910085,0.989280532428453,0.0389103805637159,-0.0868973714487766,0.989261487177065,0.0393702236944844,-0.0869048373557731,0.989243010397034,0.0397994015275567,-0.0869162621910085,0.989243010397034,0.0397994015275567,2.30389152570788,0.989243010397034,0.0397994015275567,2.30389152570788
