X[Hz],50V,100V,200V,Background
0.0,0.003502424,0.00234558,0.0069174580000000005,0.0006171304
0.125,4.161348e-05,3.239219e-05,3.688588e-05,9.331041999999999e-07
0.25,2.8970609999999997e-05,3.6836770000000004e-05,4.070212e-05,5.846281e-07
0.375,3.649946e-05,4.082679e-05,4.427629e-05,3.5321870000000003e-07
0.5,3.7993979999999994e-05,4.8738909999999996e-05,5.6148909999999994e-05,2.463537e-07
0.625,3.0419450000000002e-05,3.91682e-05,6.114840999999999e-05,2.203925e-07
0.75,3.784908e-05,4.357876e-05,5.7146660000000004e-05,2.110039e-07
0.875,3.661334e-05,3.881994e-05,5.706068e-05,1.8716829999999998e-07
1.0,3.299558e-05,4.575985e-05,5.865379e-05,1.865084e-07
1.125,3.389771e-05,4.211013e-05,7.91953e-05,1.063137e-07
1.25,3.465014e-05,4.578531e-05,5.1845990000000004e-05,1.398939e-07
1.375,2.9239870000000002e-05,3.56643e-05,6.091825e-05,1.470131e-07
1.5,2.833805e-05,3.7828990000000006e-05,5.189582e-05,1.30955e-07
1.625,3.1264949999999996e-05,2.706764e-05,5.857404e-05,8.853871e-08
1.75,2.82321e-05,3.388978e-05,6.639749e-05,8.897133e-08
1.875,3.0968309999999994e-05,3.161531e-05,5.130574e-05,1.0067489999999999e-07
2.0,2.8659679999999998e-05,2.8359959999999997e-05,4.764335e-05,1.068655e-07
2.125,2.6134400000000002e-05,2.816322e-05,4.051267e-05,7.690663000000001e-08
2.25,2.928368e-05,2.399589e-05,4.154616e-05,7.851042e-08
2.375,2.5472489999999996e-05,2.7598240000000002e-05,3.292284e-05,7.954247999999999e-08
2.5,2.8199590000000003e-05,2.0644610000000003e-05,4.2292029999999996e-05,9.147897e-08
2.625,3.514237e-05,1.850939e-05,4.098575e-05,9.737038999999999e-08
2.75,3.184225e-05,1.834923e-05,4.199734e-05,8.409688e-08
2.875,2.329661e-05,1.707272e-05,3.992468e-05,9.694075e-08
3.0,2.3651220000000003e-05,1.713927e-05,4.1420540000000004e-05,8.268950000000001e-08
3.125,2.6224e-05,1.568447e-05,2.920528e-05,6.349108999999999e-08
3.25,2.5755679999999997e-05,1.705898e-05,3.568738e-05,8.02681e-08
3.375,2.25785e-05,1.745279e-05,2.947845e-05,8.254699000000001e-08
3.5,2.7259390000000005e-05,1.4439879999999999e-05,3.451387e-05,5.851464e-08
3.625,2.248264e-05,1.2531769999999999e-05,2.7837890000000003e-05,7.330686e-08
3.75,2.416513e-05,1.363056e-05,2.56171e-05,6.925002e-08
3.875,2.3110900000000003e-05,9.245562e-06,2.6513920000000002e-05,6.796195e-08
4.0,2.450861e-05,1.3439720000000003e-05,2.8480250000000002e-05,6.510292e-08
4.125,2.818473e-05,1.2755919999999999e-05,2.4953649999999998e-05,5.959986e-08
4.25,2.9966779999999998e-05,1.276999e-05,2.8291700000000002e-05,5.3939639999999996e-08
4.375,2.4620410000000003e-05,1.255983e-05,2.5652049999999998e-05,4.947628e-08
4.5,2.564958e-05,1.077433e-05,2.7484970000000003e-05,4.712282e-08
4.625,2.6679470000000002e-05,9.106719e-06,2.6144410000000004e-05,6.276403000000001e-08
4.75,2.750408e-05,1.059611e-05,2.283775e-05,5.495029e-08
4.875,2.088069e-05,1.199522e-05,1.789648e-05,5.1441210000000005e-08
5.0,2.495468e-05,1.095588e-05,2.4771489999999998e-05,4.8054610000000004e-08
5.125,2.2837719999999998e-05,1.013069e-05,1.922373e-05,5.053582e-08
5.25,2.755788e-05,1.054185e-05,2.141183e-05,4.5106129999999995e-08
5.375,2.478279e-05,1.00313e-05,1.8513410000000002e-05,4.5666330000000006e-08
5.5,2.453344e-05,9.515712e-06,1.77791e-05,4.336455e-08
5.625,1.988469e-05,8.221302e-06,1.900134e-05,4.299328e-08
5.75,2.3109200000000002e-05,1.211078e-05,1.839892e-05,5.100248e-08
5.875,2.462897e-05,7.55424e-06,1.841928e-05,3.7351970000000006e-08
6.0,2.54196e-05,8.812073000000001e-06,1.654961e-05,4.690275e-08
6.125,2.5908629999999997e-05,8.263801e-06,1.590866e-05,3.97897e-08
6.25,3.1658109999999995e-05,9.672143e-06,1.571692e-05,4.777141e-08
6.375,2.7105079999999998e-05,8.098352e-06,1.763614e-05,3.9841839999999996e-08
6.5,2.117359e-05,7.273754e-06,1.774204e-05,5.965275e-08
6.625,2.30294e-05,7.50135e-06,1.588125e-05,3.972738e-08
6.75,1.5924920000000002e-05,8.778234999999999e-06,1.4109960000000001e-05,4.556374e-08
6.875,2.803893e-05,8.038071e-06,1.3149049999999999e-05,3.901725e-08
7.0,2.179046e-05,8.054035e-06,1.246011e-05,4.5534989999999994e-08
7.125,2.39261e-05,7.413325999999999e-06,1.258987e-05,4.592433e-08
7.25,2.4398649999999997e-05,8.811665e-06,1.596104e-05,4.92843e-08
7.375,2.11164e-05,8.777701e-06,1.155546e-05,4.1229949999999997e-08
7.5,2.3901639999999998e-05,6.538345e-06,1.270471e-05,3.316754e-08
7.625,2.1542529999999998e-05,7.699896999999999e-06,1.251444e-05,4.277417e-08
7.75,2.925143e-05,5.980361e-06,1.25964e-05,3.9387609999999997e-08
7.875,2.665195e-05,7.852171e-06,1.5121279999999999e-05,3.314694e-08
8.0,2.537866e-05,6.5891079999999995e-06,1.2287269999999998e-05,4.603267e-08
8.125,2.272776e-05,6.578061e-06,1.3511629999999998e-05,3.83325e-08
8.25,1.842385e-05,7.452867e-06,1.281964e-05,4.317983e-08
8.375,2.834353e-05,8.357259e-06,8.321695e-06,4.1762649999999996e-08
8.5,2.327136e-05,8.398036e-06,1.130918e-05,3.301277e-08
8.625,2.4165770000000003e-05,6.425261e-06,1.082072e-05,3.4777660000000006e-08
8.75,1.838739e-05,6.508844000000001e-06,1.2012139999999999e-05,4.025442e-08
8.875,2.470428e-05,6.602129999999999e-06,1.1545430000000002e-05,4.076201999999999e-08
9.0,2.4339369999999997e-05,6.787509e-06,7.516431e-06,4.554622e-08
9.125,2.3721350000000003e-05,5.990435e-06,8.369074e-06,3.270846e-08
9.25,2.299752e-05,6.493719e-06,1.2455919999999998e-05,3.2592529999999995e-08
9.375,2.341225e-05,6.786155e-06,8.495896e-06,3.290539e-08
9.5,1.9287120000000002e-05,7.684171e-06,1.0003760000000001e-05,3.977443e-08
9.625,2.130886e-05,5.012565e-06,1.000952e-05,2.9762150000000004e-08
9.75,1.878524e-05,7.060729e-06,9.962179e-06,3.666513e-08
9.875,2.684045e-05,6.194869e-06,8.497671e-06,2.94374e-08
10.0,2.363257e-05,6.277607000000001e-06,1.0793569999999999e-05,3.418019e-08
10.125,2.784171e-05,5.8632230000000005e-06,9.891443e-06,3.0638200000000004e-08
10.25,2.3082039999999996e-05,5.271828000000001e-06,1.130671e-05,3.970597e-08
10.375,2.535791e-05,5.964092000000001e-06,8.290977e-06,2.799599e-08
10.5,2.335325e-05,6.483465e-06,6.96472e-06,3.157582e-08
10.625,1.950596e-05,5.6495910000000005e-06,7.410621e-06,2.751225e-08
10.75,1.79808e-05,5.310750000000001e-06,9.628975e-06,2.9602949999999998e-08
10.875,2.3184549999999998e-05,6.164538e-06,8.101558e-06,2.965145e-08
11.0,2.4552379999999998e-05,5.647108e-06,8.299777e-06,2.80404e-08
11.125,2.7892070000000005e-05,5.818059e-06,8.761090000000001e-06,3.224054e-08
11.25,2.511424e-05,5.393419e-06,8.698615999999999e-06,2.814839e-08
11.375,2.299376e-05,6.660938999999999e-06,8.052012e-06,3.367445e-08
11.5,1.993277e-05,6.18179e-06,9.325063e-06,2.7294080000000002e-08
11.625,2.300472e-05,5.053637e-06,8.210278e-06,3.220925e-08
11.75,1.927276e-05,7.288869e-06,7.680447e-06,3.735547e-08
11.875,1.9256459999999998e-05,6.09729e-06,6.116943e-06,4.1632230000000006e-08
12.0,2.3487220000000002e-05,4.445889e-06,6.437258e-06,3.0733399999999996e-08
12.125,2.288876e-05,4.822102e-06,8.049493e-06,2.897447e-08
12.25,1.984892e-05,5.4862149999999994e-06,8.789344e-06,2.89487e-08
12.375,1.807549e-05,5.8335e-06,7.718139e-06,3.32808e-08
12.5,2.167436e-05,5.78537e-06,6.216568999999999e-06,2.683427e-08
12.625,2.1766239999999998e-05,5.597854e-06,7.281204e-06,3.049121e-08
12.75,2.231482e-05,5.524817000000001e-06,6.961662999999999e-06,2.8244580000000004e-08
12.875,2.0060410000000003e-05,6.08341e-06,6.718255e-06,2.749078e-08
13.0,2.037026e-05,5.598097e-06,6.681774000000001e-06,3.101651e-08
13.125,2.338945e-05,5.571266000000001e-06,6.203098e-06,2.990413e-08
13.25,1.73338e-05,6.095297000000001e-06,7.443584e-06,2.685216e-08
13.375,1.917825e-05,5.936558e-06,6.090065e-06,3.096978e-08
13.5,2.034604e-05,4.5980130000000004e-06,6.675196e-06,2.600993e-08
13.625,2.329674e-05,5.360839e-06,5.853606999999999e-06,3.335656e-08
13.75,1.949431e-05,5.381603e-06,7.723715e-06,2.32801e-08
13.875,1.888036e-05,6.767782e-06,6.4078229999999994e-06,2.6632689999999998e-08
14.0,1.7633429999999998e-05,5.535001e-06,5.867768999999999e-06,2.9475599999999997e-08
14.125,1.764194e-05,5.829949000000001e-06,6.516237999999999e-06,2.725941e-08
14.25,2.1703160000000003e-05,5.592067e-06,6.498974e-06,2.259139e-08
14.375,1.924279e-05,4.558035e-06,5.433274e-06,2.497319e-08
14.5,1.695543e-05,5.121332e-06,5.798257e-06,2.222684e-08
14.625,1.881774e-05,6.245874e-06,4.970313e-06,2.50808e-08
14.75,1.5688889999999997e-05,4.878518e-06,5.8106730000000004e-06,2.1910729999999997e-08
14.875,1.824396e-05,5.566043e-06,6.57072e-06,2.2338720000000002e-08
15.0,1.88293e-05,6.384684e-06,5.386072e-06,2.975066e-08
15.125,2.3554580000000002e-05,4.9763510000000005e-06,4.963685e-06,2.5969860000000002e-08
