Frequency,Channel A
(kHz),(dBV)

0.00000000,-63.30998000
0.00061035,-65.03943000
0.00122070,-71.41824000
0.00183105,-57.39266000
0.00244141,-58.91157000
0.00305176,-67.11138000
0.00366211,-62.55406000
0.00427246,-64.26678000
0.00488281,-68.59124000
0.00549316,-62.18710000
0.00610352,-66.67639000
0.00671387,-77.60413000
0.00732422,-74.07747000
0.00793457,-71.05945000
0.00854492,-71.83163000
0.00915527,-70.61136000
0.00976563,-87.18909000
0.01037598,-66.41347000
0.01098633,-60.22253000
0.01159668,-65.44283000
0.01220703,-67.19318000
0.01281738,-73.09418000
0.01342773,-70.42860000
0.01403809,-66.83730000
0.01464844,-66.73487000
0.01525879,-66.45781000
0.01586914,-75.43008000
0.01647949,-74.55100000
0.01708984,-71.13839000
0.01770020,-72.33377000
0.01831055,-71.43855000
0.01892090,-86.04546000
0.01953125,-71.46852000
0.02014160,-68.28873000
0.02075195,-66.30477000
0.02136230,-61.93158000
0.02197266,-62.09332000
0.02258301,-65.68758000
0.02319336,-73.45306000
0.02380371,-67.66152000
0.02441406,-69.33914000
0.02502441,-66.96488000
0.02563477,-63.93687000
0.02624512,-62.31657000
0.02685547,-64.56212000
0.02746582,-67.35694000
0.02807617,-71.30658000
0.02868652,-75.98325000
0.02929688,-67.91737000
0.02990723,-76.29858000
0.03051758,-76.71159000
0.03112793,-73.09373000
0.03173828,-69.16241000
0.03234863,-65.30290000
0.03295898,-63.66962000
0.03356934,-68.85252000
0.03417969,-63.15723000
0.03479004,-62.62249000
0.03540039,-65.08027000
0.03601074,-68.48931000
0.03662109,-67.86670000
0.03723145,-63.71302000
0.03784180,-63.99464000
0.03845215,-70.91346000
0.03906250,-64.99328000
0.03967285,-65.33777000
0.04028320,-79.96350000
0.04089355,-70.12739000
0.04150391,-68.89738000
0.04211426,-62.95536000
0.04272461,-63.57609000
0.04333496,-63.05847000
0.04394531,-63.67677000
0.04455566,-66.33383000
0.04516602,-74.30161000
0.04577637,-68.68896000
0.04638672,-64.27815000
0.04699707,-65.25938000
0.04760742,-66.92554000
0.04821777,-76.40041000
0.04882813,-77.17812000
0.04943848,-66.56026000
0.05004883,-66.12415000
0.05065918,-70.96957000
0.05126953,-70.24913000
0.05187988,-68.69406000
0.05249023,-70.98395000
0.05310059,-90.22868000
0.05371094,-78.68077000
0.05432129,-74.30717000
0.05493164,-73.58825000
0.05554199,-77.12701000
0.05615234,-73.79739000
0.05676270,-70.74831000
0.05737305,-68.53596000
0.05798340,-65.76120000
0.05859375,-63.14056000
0.05920410,-82.44888000
0.05981445,-70.06963000
0.06042480,-74.73137000
0.06103516,-70.23837000
0.06164551,-65.26628000
0.06225586,-63.98917000
0.06286621,-67.06818000
0.06347656,-63.28830000
0.06408691,-70.29795000
0.06469727,-71.12774000
0.06530762,-65.40503000
0.06591797,-65.19693000
0.06652832,-70.37352000
0.06713867,-65.68559000
0.06774902,-63.33429000
0.06835938,-60.77150000
0.06896973,-58.28247000
0.06958008,-61.11565000
0.07019043,-65.26618000
0.07080078,-65.89268000
0.07141113,-64.68114000
0.07202148,-72.24910000
0.07263184,-73.84932000
0.07324219,-81.55770000
0.07385254,-69.66965000
0.07446289,-80.83110000
0.07507324,-70.90241000
0.07568359,-65.28568000
0.07629395,-66.21373000
0.07690430,-67.80358000
0.07751465,-69.80546000
0.07812500,-92.74677000
0.07873535,-80.41286000
0.07934570,-83.47142000
0.07995605,-73.50199000
0.08056641,-70.25117000
0.08117676,-71.21883000
0.08178711,-67.89378000
0.08239746,-71.76749000
0.08300781,-67.73490000
0.08361816,-82.98677000
0.08422852,-65.03587000
0.08483887,-65.43701000
0.08544922,-76.34451000
0.08605957,-73.58606000
0.08666992,-68.64666000
0.08728027,-62.35576000
0.08789063,-66.42019000
0.08850098,-70.12009000
0.08911133,-70.02677000
0.08972168,-63.82352000
0.09033203,-61.57086000
0.09094238,-74.30518000
0.09155273,-64.77322000
0.09216309,-74.83974000
0.09277344,-63.19646000
0.09338379,-62.25521000
0.09399414,-69.09991000
0.09460449,-71.35963000
0.09521484,-74.67706000
0.09582520,-67.60410000
0.09643555,-73.31349000
0.09704590,-68.00726000
0.09765625,-71.32921000
0.09826660,-70.17516000
0.09887695,-67.29562000
0.09948730,-65.83979000
0.10009766,-67.07262000
0.10070801,-73.18401000
0.10131836,-69.14994000
0.10192871,-69.25470000
0.10253906,-73.38994000
0.10314941,-78.18098000
0.10375977,-67.42700000
0.10437012,-75.52677000
0.10498047,-76.22617000
0.10559082,-74.97585000
0.10620117,-77.40355000
0.10681152,-74.47002000
0.10742188,-74.84704000
0.10803223,-66.56345000
0.10864258,-63.70816000
0.10925293,-67.05479000
0.10986328,-69.58144000
0.11047363,-66.35663000
0.11108398,-75.91125000
0.11169434,-72.10939000
0.11230469,-75.72566000
0.11291504,-72.93087000
0.11352539,-68.79294000
0.11413574,-69.58784000
0.11474609,-66.81938000
0.11535645,-68.71260000
0.11596680,-70.53071000
0.11657715,-78.39330000
0.11718750,-84.54335000
0.11779785,-65.57128000
0.11840820,-63.11890000
0.11901855,-66.68367000
0.11962891,-69.11167000
0.12023926,-76.54874000
0.12084961,-88.05789000
0.12145996,-75.55634000
0.12207031,-86.40408000
0.12268066,-73.41184000
0.12329102,-66.22726000
0.12390137,-69.86472000
0.12451172,-67.99928000
0.12512207,-64.18462000
0.12573242,-69.98473000
0.12634277,-71.96977000
0.12695313,-65.96968000
0.12756348,-65.56458000
0.12817383,-68.54633000
0.12878418,-85.34764000
0.12939453,-65.12704000
0.13000488,-61.56274000
0.13061523,-69.56725000
0.13122559,-80.41348000
0.13183594,-75.25377000
0.13244629,-75.85425000
0.13305664,-67.55141000
0.13366699,-61.93144000
0.13427734,-66.53325000
0.13488770,-78.02635000
0.13549805,-68.63450000
0.13610840,-74.81093000
0.13671875,-73.27070000
0.13732910,-73.51627000
0.13793945,-73.60610000
0.13854980,-79.43728000
0.13916016,-76.26987000
0.13977051,-73.68850000
0.14038086,-76.73839000
0.14099121,-77.82716000
0.14160156,-76.82886000
0.14221191,-74.90616000
0.14282227,-71.45311000
0.14343262,-81.85790000
0.14404297,-74.89621000
0.14465332,-78.18885000
0.14526367,-72.73093000
0.14587402,-74.69698000
0.14648438,-72.24927000
0.14709473,-71.67791000
0.14770508,-67.35940000
0.14831543,-69.93185000
0.14892578,-89.32008000
0.14953613,-76.57446000
0.15014648,-72.76353000
0.15075684,-82.66113000
0.15136719,-84.04128000
0.15197754,-82.26215000
0.15258789,-102.28150000
0.15319824,-75.24309000
0.15380859,-74.23872000
0.15441895,-92.56969000
0.15502930,-75.83231000
0.15563965,-70.90345000
0.15625000,-67.74895000
0.15686035,-74.04498000
0.15747070,-70.65505000
0.15808105,-67.11374000
0.15869141,-67.73197000
0.15930176,-71.50201000
0.15991211,-89.86745000
0.16052246,-73.91257000
0.16113281,-79.38083000
0.16174316,-71.84986000
0.16235352,-79.59199000
0.16296387,-82.17664000
0.16357422,-71.43325000
0.16418457,-71.71350000
0.16479492,-67.48845000
0.16540527,-68.57761000
0.16601563,-77.64128000
0.16662598,-73.09970000
0.16723633,-79.49024000
0.16784668,-79.08529000
0.16845703,-100.75120000
0.16906738,-78.76988000
0.16967773,-81.46897000
0.17028809,-71.09104000
0.17089844,-67.49236000
0.17150879,-68.27737000
0.17211914,-76.44724000
0.17272949,-73.02369000
0.17333984,-65.98238000
0.17395020,-67.93199000
0.17456055,-75.79215000
0.17517090,-91.88930000
0.17578125,-75.84957000
0.17639160,-81.44862000
0.17700195,-70.73486000
0.17761230,-71.75242000
0.17822266,-72.85537000
0.17883301,-77.79866000
0.17944336,-70.61687000
0.18005371,-70.55441000
0.18066406,-66.77907000
0.18127441,-71.98369000
0.18188477,-76.08111000
0.18249512,-109.93930000
0.18310547,-70.31544000
0.18371582,-70.34959000
0.18432617,-73.93054000
0.18493652,-72.03313000
0.18554688,-66.50283000
0.18615723,-74.90889000
0.18676758,-71.25263000
0.18737793,-74.28268000
0.18798828,-72.49972000
0.18859863,-78.51437000
0.18920898,-79.73652000
0.18981934,-71.48156000
0.19042969,-78.03490000
0.19104004,-76.52413000
0.19165039,-80.57067000
0.19226074,-78.66660000
0.19287109,-81.67675000
0.19348145,-91.81131000
0.19409180,-80.87441000
0.19470215,-85.54297000
0.19531250,-73.91834000
0.19592285,-72.60655000
0.19653320,-73.76748000
0.19714355,-69.97588000
0.19775391,-67.63438000
0.19836426,-71.16823000
0.19897461,-77.02330000
0.19958496,-79.85822000
0.20019531,-76.25494000
0.20080566,-69.12202000
0.20141602,-67.46741000
0.20202637,-68.34384000
0.20263672,-74.32243000
0.20324707,-81.33565000
0.20385742,-83.73750000
0.20446777,-78.39075000
0.20507813,-78.56593000
0.20568848,-71.18885000
0.20629883,-68.83590000
0.20690918,-77.57109000
0.20751953,-75.28101000
0.20812988,-71.02612000
0.20874023,-70.42708000
0.20935059,-70.33029000
0.20996094,-84.00054000
0.21057129,-77.05408000
0.21118164,-80.56527000
0.21179199,-75.50077000
0.21240234,-69.22935000
0.21301270,-71.27097000
0.21362305,-78.17416000
0.21423340,-77.34496000
0.21484375,-83.88076000
0.21545410,-76.13881000
0.21606445,-78.27567000
0.21667480,-71.37247000
0.21728516,-85.15214000
0.21789551,-74.75786000
0.21850586,-86.53346000
0.21911621,-89.50317000
0.21972656,-88.33344000
0.22033691,-78.81667000
0.22094727,-75.05421000
0.22155762,-81.16574000
0.22216797,-75.00663000
0.22277832,-71.34574000
0.22338867,-75.40422000
0.22399902,-75.94957000
0.22460938,-77.34781000
0.22521973,-78.32877000
0.22583008,-79.36546000
0.22644043,-75.03825000
0.22705078,-83.72192000
0.22766113,-72.04078000
0.22827148,-72.99567000
0.22888184,-77.62286000
0.22949219,-90.07228000
0.23010254,-76.86909000
0.23071289,-70.59920000
0.23132324,-71.33417000
0.23193359,-73.15868000
0.23254395,-72.46324000
0.23315430,-82.19846000
0.23376465,-83.43405000
0.23437500,-72.92590000
0.23498535,-73.08038000
0.23559570,-78.61707000
0.23620605,-70.44099000
0.23681641,-73.41823000
0.23742676,-75.75851000
0.23803711,-78.66176000
0.23864746,-74.36958000
0.23925781,-79.12550000
0.23986816,-78.32272000
0.24047852,-90.83447000
0.24108887,-79.16272000
0.24169922,-71.76337000
0.24230957,-68.40493000
0.24291992,-76.25358000
0.24353027,-88.31644000
0.24414063,-79.15652000
0.24475098,-75.66211000
0.24536133,-72.57838000
0.24597168,-72.54646000
0.24658203,-70.77141000
0.24719238,-79.11259000
0.24780273,-76.26038000
0.24841309,-75.73357000
0.24902344,-75.03150000
0.24963379,-75.47265000
0.25024414,-77.17207000
0.25085449,-74.79326000
0.25146484,-79.32390000
0.25207520,-76.86423000
0.25268555,-71.25911000
0.25329590,-72.94862000
0.25390625,-71.89864000
0.25451660,-71.40402000
0.25512695,-75.86069000
0.25573730,-73.82307000
0.25634766,-71.86013000
0.25695801,-76.66345000
0.25756836,-85.34733000
0.25817871,-83.33061000
0.25878906,-80.60394000
0.25939941,-77.31423000
0.26000977,-76.56243000
0.26062012,-71.99325000
0.26123047,-69.72143000
0.26184082,-75.07079000
0.26245117,-87.66068000
0.26306152,-78.40322000
0.26367188,-78.57351000
0.26428223,-68.16389000
0.26489258,-71.11674000
0.26550293,-94.50204000
0.26611328,-71.53836000
0.26672363,-83.32889000
0.26733398,-74.62975000
0.26794434,-79.29044000
0.26855469,-75.14926000
0.26916504,-73.53986000
0.26977539,-73.06328000
0.27038574,-72.81898000
0.27099609,-85.96237000
0.27160645,-87.08172000
0.27221680,-74.53795000
0.27282715,-79.28120000
0.27343750,-81.96572000
0.27404785,-76.84665000
0.27465820,-72.83562000
0.27526855,-78.86679000
0.27587891,-77.16733000
0.27648926,-75.48119000
0.27709961,-77.65928000
0.27770996,-87.33216000
0.27832031,-87.84400000
0.27893066,-83.46860000
0.27954102,-85.40889000
0.28015137,-75.97517000
0.28076172,-76.21472000
0.28137207,-80.92461000
0.28198242,-82.83161000
0.28259277,-86.10371000
0.28320313,-94.35103000
0.28381348,-83.65380000
0.28442383,-73.62389000
0.28503418,-76.73812000
0.28564453,-96.82426000
0.28625488,-90.17595000
0.28686523,-81.59756000
